Date,Sentiment Score,Source
2024-03-31,75,alternative.me
2024-04-01,79,alternative.me
2024-04-02,79,alternative.me
2024-04-03,71,alternative.me
2024-04-04,70,alternative.me
2024-04-05,79,alternative.me
2024-04-06,75,alternative.me
2024-04-07,78,alternative.me
2024-04-08,76,alternative.me
2024-04-09,80,alternative.me
2024-04-10,78,alternative.me
2024-04-11,76,alternative.me
2024-04-12,79,alternative.me
2024-04-13,72,alternative.me
2024-04-14,72,alternative.me
2024-04-15,74,alternative.me
2024-04-16,65,alternative.me
2024-04-17,67,alternative.me
2024-04-18,57,alternative.me
2024-04-19,66,alternative.me
2024-04-20,66,alternative.me
2024-04-21,72,alternative.me
2024-04-22,73,alternative.me
2024-04-23,71,alternative.me
2024-04-24,72,alternative.me
2024-04-25,72,alternative.me
2024-04-26,70,alternative.me
2024-04-27,67,alternative.me
2024-04-28,65,alternative.me
2024-04-29,67,alternative.me
2024-04-30,67,alternative.me
2024-05-01,54,alternative.me
2024-05-02,43,alternative.me
2024-05-03,48,alternative.me
2024-05-04,67,alternative.me
2024-05-05,69,alternative.me
2024-05-06,71,alternative.me
2024-05-07,68,alternative.me
2024-05-08,64,alternative.me
2024-05-09,55,alternative.me
2024-05-10,66,alternative.me
2024-05-11,53,alternative.me
2024-05-12,56,alternative.me
2024-05-13,57,alternative.me
2024-05-14,66,alternative.me
2024-05-15,64,alternative.me
2024-05-16,70,alternative.me
2024-05-17,74,alternative.me
2024-05-18,73,alternative.me
2024-05-19,72,alternative.me
2024-05-20,70,alternative.me
2024-05-21,76,alternative.me
2024-05-22,76,alternative.me
2024-05-23,76,alternative.me
2024-05-24,74,alternative.me
2024-05-25,76,alternative.me
2024-05-26,75,alternative.me
2024-05-27,74,alternative.me
2024-05-28,72,alternative.me
2024-05-29,72,alternative.me
2024-05-30,73,alternative.me
2024-05-31,73,alternative.me
2024-06-01,72,alternative.me
2024-06-02,73,alternative.me
2024-06-03,73,alternative.me
2024-06-04,73,alternative.me
2024-06-05,75,alternative.me
2024-06-06,78,alternative.me
2024-06-07,77,alternative.me
2024-06-08,72,alternative.me
2024-06-09,75,alternative.me
2024-06-10,72,alternative.me
2024-06-11,74,alternative.me
2024-06-12,72,alternative.me
2024-06-13,70,alternative.me
2024-06-14,74,alternative.me
2024-06-15,74,alternative.me
2024-06-16,71,alternative.me
2024-06-17,71,alternative.me
2024-06-18,74,alternative.me
2024-06-19,64,alternative.me
2024-06-20,60,alternative.me
2024-06-21,63,alternative.me
2024-06-22,53,alternative.me
2024-06-23,55,alternative.me
2024-06-24,51,alternative.me
2024-06-25,30,alternative.me
2024-06-26,46,alternative.me
2024-06-27,40,alternative.me
2024-06-28,47,alternative.me
2024-06-29,30,alternative.me
2024-06-30,47,alternative.me
2024-07-01,53,alternative.me
2024-07-02,51,alternative.me
2024-07-03,50,alternative.me
2024-07-04,44,alternative.me
2024-07-05,29,alternative.me
2024-07-06,26,alternative.me
2024-07-07,29,alternative.me
2024-07-08,28,alternative.me
2024-07-09,27,alternative.me
2024-07-10,28,alternative.me
2024-07-11,29,alternative.me
2024-07-12,25,alternative.me
2024-07-13,25,alternative.me
2024-07-14,33,alternative.me
2024-07-15,52,alternative.me
2024-07-16,65,alternative.me
2024-07-17,69,alternative.me
2024-07-18,61,alternative.me
2024-07-19,60,alternative.me
2024-07-20,74,alternative.me
2024-07-21,74,alternative.me
2024-07-22,70,alternative.me
2024-07-23,71,alternative.me
2024-07-24,69,alternative.me
2024-07-25,68,alternative.me
2024-07-26,68,alternative.me
2024-07-27,72,alternative.me
2024-07-28,71,alternative.me
2024-07-29,74,alternative.me
2024-07-30,67,alternative.me
2024-07-31,61,alternative.me
2024-08-01,52,alternative.me
2024-08-02,57,alternative.me
2024-08-03,37,alternative.me
2024-08-04,34,alternative.me
2024-08-05,26,alternative.me
2024-08-06,17,alternative.me
2024-08-07,29,alternative.me
2024-08-08,20,alternative.me
2024-08-09,48,alternative.me
2024-08-10,40,alternative.me
2024-08-11,39,alternative.me
2024-08-12,25,alternative.me
2024-08-13,31,alternative.me
2024-08-14,30,alternative.me
2024-08-15,29,alternative.me
2024-08-16,27,alternative.me
2024-08-17,25,alternative.me
2024-08-18,31,alternative.me
2024-08-19,28,alternative.me
2024-08-20,30,alternative.me
2024-08-21,26,alternative.me
2024-08-22,39,alternative.me
2024-08-23,34,alternative.me
2024-08-24,56,alternative.me
2024-08-25,54,alternative.me
2024-08-26,55,alternative.me
2024-08-27,48,alternative.me
2024-08-28,30,alternative.me
2024-08-29,29,alternative.me
2024-08-30,34,alternative.me
2024-08-31,29,alternative.me
2024-09-01,26,alternative.me
2024-09-02,26,alternative.me
2024-09-03,26,alternative.me
2024-09-04,27,alternative.me
2024-09-05,29,alternative.me
2024-09-06,22,alternative.me
2024-09-07,23,alternative.me
2024-09-08,29,alternative.me
2024-09-09,26,alternative.me
2024-09-10,33,alternative.me
2024-09-11,37,alternative.me
2024-09-12,31,alternative.me
2024-09-13,32,alternative.me
2024-09-14,50,alternative.me
2024-09-15,51,alternative.me
2024-09-16,39,alternative.me
2024-09-17,33,alternative.me
2024-09-18,45,alternative.me
2024-09-19,49,alternative.me
2024-09-20,54,alternative.me
2024-09-21,54,alternative.me
2024-09-22,52,alternative.me
2024-09-23,50,alternative.me
2024-09-24,54,alternative.me
2024-09-25,59,alternative.me
2024-09-26,50,alternative.me
2024-09-27,61,alternative.me
2024-09-28,64,alternative.me
2024-09-29,63,alternative.me
2024-09-30,61,alternative.me
2024-10-01,50,alternative.me
2024-10-02,42,alternative.me
2024-10-03,37,alternative.me
2024-10-04,41,alternative.me
2024-10-05,49,alternative.me
2024-10-06,50,alternative.me
2024-10-07,50,alternative.me
2024-10-08,49,alternative.me
2024-10-09,49,alternative.me
2024-10-10,39,alternative.me
2024-10-11,32,alternative.me
2024-10-12,49,alternative.me
2024-10-13,50,alternative.me
2024-10-14,48,alternative.me
2024-10-15,65,alternative.me
2024-10-16,73,alternative.me
2024-10-17,71,alternative.me
2024-10-18,73,alternative.me
2024-10-19,72,alternative.me
2024-10-20,73,alternative.me
2024-10-21,72,alternative.me
2024-10-22,70,alternative.me
2024-10-23,71,alternative.me
2024-10-24,69,alternative.me
2024-10-25,72,alternative.me
2024-10-27,74,alternative.me
2024-10-28,72,alternative.me
2024-10-29,72,alternative.me
2024-10-30,77,alternative.me
2024-10-31,77,alternative.me
2024-11-01,75,alternative.me
2024-11-02,72,alternative.me
2024-11-03,74,alternative.me
2024-11-04,70,alternative.me
2024-11-05,70,alternative.me
2024-11-06,70,alternative.me
2024-11-07,77,alternative.me
2024-11-08,75,alternative.me
2024-11-09,75,alternative.me
2024-11-10,78,alternative.me
2024-11-11,76,alternative.me
2024-11-12,80,alternative.me
2024-11-13,84,alternative.me
2024-11-14,88,alternative.me
2024-11-15,80,alternative.me
2024-11-16,86,alternative.me
2024-11-17,90,alternative.me
2024-11-18,83,alternative.me
2024-11-19,90,alternative.me
2024-11-20,83,alternative.me
2024-11-21,82,alternative.me
2024-11-22,94,alternative.me
2024-11-23,93,alternative.me
2024-11-24,80,alternative.me
2024-11-25,82,alternative.me
2024-11-26,79,alternative.me
2024-11-27,75,alternative.me
2024-11-28,77,alternative.me
2024-11-29,78,alternative.me
2024-11-30,84,alternative.me
2024-12-01,81,alternative.me
2024-12-02,80,alternative.me
2024-12-03,76,alternative.me
2024-12-04,78,alternative.me
2024-12-05,84,alternative.me
2024-12-06,72,alternative.me
2024-12-07,75,alternative.me
2024-12-08,79,alternative.me
2024-12-09,78,alternative.me
2024-12-10,78,alternative.me
2024-12-11,74,alternative.me
2024-12-12,83,alternative.me
2024-12-13,76,alternative.me
2024-12-14,83,alternative.me
2024-12-15,80,alternative.me
2024-12-16,83,alternative.me
2024-12-17,87,alternative.me
2024-12-18,81,alternative.me
2024-12-19,75,alternative.me
2024-12-20,74,alternative.me
2024-12-21,73,alternative.me
2024-12-22,73,alternative.me
2024-12-23,70,alternative.me
2024-12-24,73,alternative.me
2024-12-25,73,alternative.me
2024-12-26,79,alternative.me
2024-12-27,74,alternative.me
2024-12-28,72,alternative.me
2024-12-29,73,alternative.me
2024-12-30,65,alternative.me
2024-12-31,64,alternative.me
2025-01-01,66,alternative.me
2025-01-02,70,alternative.me
2025-01-03,74,alternative.me
2025-01-04,73,alternative.me
2025-01-05,72,alternative.me
2025-01-06,76,alternative.me
2025-01-07,78,alternative.me
2025-01-08,70,alternative.me
2025-01-09,69,alternative.me
2025-01-10,50,alternative.me
2025-01-11,69,alternative.me
2025-01-12,62,alternative.me
2025-01-13,61,alternative.me
2025-01-14,63,alternative.me
2025-01-15,70,alternative.me
2025-01-16,75,alternative.me
2025-01-17,75,alternative.me
2025-01-18,77,alternative.me
2025-01-19,77,alternative.me
2025-01-20,76,alternative.me
2025-01-21,76,alternative.me
2025-01-22,84,alternative.me
2025-01-23,75,alternative.me
2025-01-24,75,alternative.me
2025-01-25,75,alternative.me
2025-01-26,73,alternative.me
2025-01-27,71,alternative.me
2025-01-28,72,alternative.me
2025-01-29,72,alternative.me
2025-01-30,70,alternative.me
2025-01-31,76,alternative.me
2025-02-01,68,alternative.me
2025-02-02,60,alternative.me
2025-02-03,44,alternative.me
2025-02-04,72,alternative.me
2025-02-05,54,alternative.me
2025-02-06,49,alternative.me
2025-02-07,44,alternative.me
2025-02-08,44,alternative.me
2025-02-09,46,alternative.me
2025-02-10,43,alternative.me
2025-02-11,47,alternative.me
2025-02-12,51,custom_calculation
2025-02-13,50,custom_calculation
2025-02-14,48,alternative.me
2025-02-15,53,custom_calculation
2025-02-16,53,custom_calculation
2025-02-17,48,custom_calculation
2025-02-18,49,custom_calculation
2025-02-19,48,custom_calculation
2025-02-20,49,alternative.me
2025-02-21,55,alternative.me
2025-02-22,49,alternative.me
2025-02-23,50,alternative.me
2025-02-24,49,alternative.me
2025-02-25,25,alternative.me
2025-02-26,21,alternative.me
2025-02-27,10,alternative.me
2025-02-28,16,alternative.me
2025-03-01,20,alternative.me
2025-03-02,26,alternative.me
2025-03-03,33,alternative.me
2025-03-04,15,alternative.me
2025-03-05,36,custom_calculation
2025-03-06,25,alternative.me
2025-03-07,34,alternative.me
2025-03-08,28,alternative.me
2025-03-09,27,alternative.me
2025-03-10,20,alternative.me
2025-03-11,24,alternative.me
2025-03-12,43,custom_calculation
2025-03-13,48,custom_calculation
2025-03-14,39,custom_calculation
2025-03-15,49,custom_calculation
2025-03-16,41,custom_calculation
2025-03-17,42,custom_calculation
2025-03-18,43,custom_calculation
2025-03-19,42,custom_calculation
2025-03-20,50,custom_calculation
2025-03-21,41,custom_calculation
2025-03-22,42,custom_calculation
2025-03-23,41,custom_calculation
2025-03-24,48,custom_calculation
2025-03-25,48,custom_calculation
2025-03-26,49,custom_calculation
2025-03-27,46,custom_calculation
2025-03-28,48,custom_calculation
2025-03-29,38,custom_calculation
2025-03-30,42,custom_calculation
2025-03-31,42,custom_calculation
